Title,# Views,# Rates,Average Score,Douban Link
玩偶 ,14,12,6.166666666666667,https://movie.douban.com/subject/1299809/
一周八天：披头士的巡演时代 ,1,1,8.0,https://movie.douban.com/subject/26821230/
小大人 ,11,10,8.0,https://movie.douban.com/subject/26673872/
赴汤蹈火 ,15,13,7.538461538461538,https://movie.douban.com/subject/26389148/
追捕野蛮人 ,7,6,7.666666666666667,https://movie.douban.com/subject/26411201/
雏菊 ,15,13,8.0,https://movie.douban.com/subject/1296500/
黑社会 ,18,16,8.875,https://movie.douban.com/subject/1309220/
春光乍泄 ,24,22,8.909090909090908,https://movie.douban.com/subject/1292679/
书记,5,5,7.2,https://movie.douban.com/subject/3629230/
大同,9,9,8.222222222222221,https://movie.douban.com/subject/26276498/
寄生兽 ,13,12,7.0,https://movie.douban.com/subject/25774050/
卡罗尔 ,20,16,7.375,https://movie.douban.com/subject/10757577/
暗战 ,19,17,7.882352941176471,https://movie.douban.com/subject/1298898/
我是仙女 ,2,1,8.0,https://movie.douban.com/subject/26801160/
独·生 ,2,1,8.0,https://movie.douban.com/subject/24532570/
机动部队 ,18,16,7.75,https://movie.douban.com/subject/1302434/
